Institution ID,Institution Name,Total Student Count,LRE Students >80%,LRE Students >80% Target,LRE Students <40%,LRE Students <40% Target,LRE Students Separate Settings,LRE Students Separate Settings Target,Elementary School Participation ELA,Elementary School Participation ELA Target,Middle School Participation ELA,Middle School Participation ELA Target,High School Participation ELA,High School Participation ELA Target,Elementary School Meet/Exceed ELA,Elementary School Meet/Exceed ELA Target,Middle School Meet/Exceed ELA,Middle School Meet/Exceed ELA Target,High School Meet/Exceed ELA,High School Meet/Exceed ELA Target,Elementary School Participation Math,Elementary School Participation Math Target,Middle School Participation Math,Middle School Participation Math Target,High School Participation Math,High School Participation Math Target,Elementary School Meet/Exceed Math,Elementary School Meet/Exceed Math Target,Middle School Meet/Exceed Math,Middle School Meet/Exceed Math Target,High School Meet/Exceed Math,High School Meet/Exceed Math Target,Special Education Eligibility,Special Education Eligibility Target,Parent Involvement,Parent Involvement Target,Secondary Transition,Secondary Transition Target,Alternate Assessment Elementary ELA,Alternate Assessment Elementary ELA Target,Alternate Assessment Middle ELA,Alternate Assessment Middle ELA Target,Alternate Assessment High ELA,Alternate Assessment High School ELA Target,Alternate Assessment Elementary Math,Alternate Assessment Elementary Math Target,Alternate Assessment Middle Math,Alternate Assessment Middle Math Target,Alternate Assessment High Math,Alternate Assessment High School Math Target,Gap In Proficiency Elementary ELA,Gap In Proficiency Elementary ELA Target,Gap In Proficiency Middle ELA,Gap In Proficiency Middle ELA Target,Gap In Proficiency High School ELA,Gap In Proficiency High School ELA Target,Gap In Proficiency Elementary Math,Gap In Proficiency Elementary Math Target,Gap In Proficiency Middle Math,Gap In Proficiency Middle Math Target,Gap In Proficiency High School Math,Gap In Proficiency High School Math Target,Graduation Rate,Graduation Rate Target,Dropout Rate,Dropout Rate Target,Higher Ed,Higher Ed Target,Higher Ed/Employed,Higher Ed/Employed Target,Higher Ed/Training/Employed,Higher Ed/Training/Employed Target
2214,North Powder SD 8J,45,95.56%,77.00% or more,2.22%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,100.00%,100.00%,71.43%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2143,North Santiam SD 29J,341,69.79%,77.00% or more,18.77%,8.40% or less,0.00%,1.60% or less,81.48%,95.00%,83.33%,95.00%,58.33%,95.00%,9.09%,26.93%,11.11%,15.73%,10.53%,27.53%,81.48%,95.00%,83.33%,95.00%,55.56%,95.00%,13.64%,20.10%,5.56%,9.75%,<5%,6.12%,93.88%,100.00%,77.78%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,28.05%,23.11%,28.28%,26.00%,42.64%,27.55%,24.93%,16.18%,21.16%,17.00%,16.26%,17.76%,70.59,82.00%,17.65%,11.82%,17.65%,34% or more,47.06%,58% or more,64.71%,76% or more
4131,North Wasco County SD 21,436,81.88%,77.00% or more,8.03%,8.40% or less,0.23%,1.60% or less,90.70%,95.00%,84.85%,95.00%,85.71%,95.00%,16.67%,26.93%,<5%,15.73%,16.67%,27.53%,90.70%,95.00%,84.85%,95.00%,82.14%,95.00%,11.11%,20.10%,<5%,9.75%,<5%,6.12%,97.96%,100.00%,62.65%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,15.78%,23.11%,21.47%,26.00%,21.24%,27.55%,14.42%,16.18%,9.95%,17.00%,13.29%,17.76%,69.77,82.00%,20.93%,11.82%,25.93%,34% or more,51.85%,58% or more,70.37%,76% or more
2110,Nyssa SD 26,162,83.95%,77.00% or more,1.23%,8.40% or less,0.00%,1.60% or less,81.25%,95.00%,92.31%,95.00%,>95%,95.00%,30.77%,26.93%,9.09%,15.73%,<5%,27.53%,81.25%,95.00%,92.31%,95.00%,>95%,95.00%,23.08%,20.10%,9.09%,9.75%,<5%,6.12%,100.00%,100.00%,91.89%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,12.53%,23.11%,25.65%,26.00%,48.68%,27.55%,21.71%,16.18%,9.86%,17.00%,25.33%,17.76%,78.57,82.00%,14.29%,11.82%,*,34% or more,*,58% or more,*,76% or more
1990,Oakland SD 1,112,79.46%,77.00% or more,0.89%,8.40% or less,0.00%,1.60% or less,87.50%,95.00%,*,95.00%,90.91%,95.00%,14.29%,26.93%,*,15.73%,40.00%,27.53%,87.50%,95.00%,*,95.00%,90.91%,95.00%,14.29%,20.10%,*,9.75%,10.00%,6.12%,100.00%,100.00%,80.00%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,17.53%,23.11%,*,26.00%,26.67%,27.55%,<5%,16.18%,*,17.00%,12.22%,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2093,Oakridge SD 76,85,70.59%,77.00% or more,8.24%,8.40% or less,1.18%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,100.00%,100.00%,66.67%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
3477,ODE YCEP District,*,*,77.00% or more,*,8.40% or less,*,1.60% or less,*,95.00%,*,95.00%,85.71%,95.00%,*,26.93%,*,15.73%,11.11%,27.53%,*,95.00%,*,95.00%,85.71%,95.00%,*,20.10%,*,9.75%,<5%,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,<5%,27.55%,*,16.18%,*,17.00%,<5%,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2108,Ontario SD 8C,357,75.07%,77.00% or more,2.24%,8.40% or less,0.00%,1.60% or less,>95%,95.00%,>95%,95.00%,>95%,95.00%,9.09%,26.93%,<5%,15.73%,<5%,27.53%,>95%,95.00%,>95%,95.00%,>95%,95.00%,12.12%,20.10%,<5%,9.75%,<5%,6.12%,98.46%,100.00%,90.91%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,15.65%,23.11%,37.12%,26.00%,41.38%,27.55%,14.96%,16.18%,15.57%,17.00%,11.03%,17.76%,85.71,82.00%,14.29%,11.82%,*,34% or more,*,58% or more,*,76% or more
1928,Oregon City SD 62,1153,80.05%,77.00% or more,9.28%,8.40% or less,0.78%,1.60% or less,87.63%,95.00%,80.56%,95.00%,70.24%,95.00%,14.12%,26.93%,12.64%,15.73%,22.41%,27.53%,87.63%,95.00%,78.70%,95.00%,63.10%,95.00%,9.41%,20.10%,5.88%,9.75%,7.69%,6.12%,97.59%,100.00%,68.94%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,23.18%,23.11%,28.40%,26.00%,28.56%,27.55%,21.65%,16.18%,16.32%,17.00%,14.16%,17.76%,78.67,82.00%,16.00%,11.82%,36.17%,34% or more,78.72%,58% or more,87.23%,76% or more
1926,Oregon Trail SD 46,623,74.16%,77.00% or more,15.41%,8.40% or less,0.64%,1.60% or less,90.00%,95.00%,88.14%,95.00%,68.89%,95.00%,35.00%,26.93%,26.67%,15.73%,11.11%,27.53%,90.00%,95.00%,88.14%,95.00%,64.44%,95.00%,30.00%,20.10%,20.00%,9.75%,<5%,6.12%,97.53%,100.00%,82.22%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,17.32%,23.11%,32.68%,26.00%,16.05%,27.55%,24.64%,16.18%,13.22%,17.00%,<5%,17.76%,78.33,82.00%,16.67%,11.82%,20.00%,34% or more,80.00%,58% or more,86.67%,76% or more
2060,Paisley SD 11,34,100.00%,77.00% or more,0.00%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2181,Parkrose SD 3,399,78.45%,77.00% or more,2.26%,8.40% or less,4.01%,1.60% or less,84.38%,95.00%,68.75%,95.00%,<5%,95.00%,34.78%,26.93%,5.00%,15.73%,*,27.53%,84.38%,95.00%,59.38%,95.00%,<5%,95.00%,34.78%,20.10%,5.88%,9.75%,*,6.12%,96.55%,100.00%,65.31%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,<5%,23.11%,24.93%,26.00%,*,27.55%,<5%,16.18%,<5%,17.00%,*,17.76%,>95,82.00%,<5%,11.82%,33.33%,34% or more,66.67%,58% or more,66.67%,76% or more
2207,Pendleton SD 16,452,74.12%,77.00% or more,6.64%,8.40% or less,0.00%,1.60% or less,84.21%,95.00%,>95%,95.00%,84.38%,95.00%,7.14%,26.93%,8.11%,15.73%,<5%,27.53%,84.21%,95.00%,>95%,95.00%,84.38%,95.00%,10.71%,20.10%,<5%,9.75%,<5%,6.12%,100.00%,100.00%,67.86%,86.22%,71.43%,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,26.93%,23.11%,30.70%,26.00%,36.28%,27.55%,21.88%,16.18%,16.71%,17.00%,7.59%,17.76%,74.42,82.00%,16.28%,11.82%,19.23%,34% or more,61.54%,58% or more,69.23%,76% or more
2192,Perrydale SD 21,34,67.65%,77.00% or more,0.00%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,90.91%,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
1900,Philomath SD 17J,235,83.83%,77.00% or more,9.79%,8.40% or less,0.00%,1.60% or less,70.83%,95.00%,94.12%,95.00%,52.38%,95.00%,18.75%,26.93%,7.14%,15.73%,30.00%,27.53%,70.83%,95.00%,94.12%,95.00%,38.10%,95.00%,35.29%,20.10%,7.14%,9.75%,*,6.12%,100.00%,100.00%,87.18%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,29.60%,23.11%,31.25%,26.00%,41.43%,27.55%,12.54%,16.18%,13.58%,17.00%,*,17.76%,51.85,82.00%,29.63%,11.82%,36.36%,34% or more,36.36%,58% or more,54.55%,76% or more
2039,Phoenix-Talent SD 4,360,78.06%,77.00% or more,10.83%,8.40% or less,0.28%,1.60% or less,>95%,95.00%,>95%,95.00%,>95%,95.00%,15.79%,26.93%,6.90%,15.73%,10.53%,27.53%,>95%,95.00%,94.74%,95.00%,86.96%,95.00%,22.22%,20.10%,<5%,9.75%,5.88%,6.12%,97.50%,100.00%,75.00%,86.22%,87.50%,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,15.93%,23.11%,22.62%,26.00%,35.42%,27.55%,<5%,16.18%,16.27%,17.00%,5.66%,17.76%,76.67,82.00%,16.67%,11.82%,12.50%,34% or more,81.25%,58% or more,87.50%,76% or more
2202,Pilot Rock SD 2,38,97.37%,77.00% or more,0.00%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,100.00%,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2016,Pine Creek SD 5,*,*,77.00% or more,*,8.40% or less,*,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
1897,Pine Eagle SD 61,40,92.50%,77.00% or more,7.50%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,71.43%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2047,Pinehurst SD 94,*,*,77.00% or more,*,8.40% or less,*,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2081,Pleasant Hill SD 1,141,82.98%,77.00% or more,4.96%,8.40% or less,4.26%,1.60% or less,72.73%,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,72.73%,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,100.00%,100.00%,84.00%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,>95,82.00%,<5%,11.82%,10.00%,34% or more,90.00%,58% or more,100.00%,76% or more
2062,Plush SD 18,*,*,77.00% or more,*,8.40% or less,*,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
1973,Port Orford-Langlois SD 2CJ,34,85.29%,77.00% or more,14.71%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2180,Portland SD 1J,7391,82.38%,77.00% or more,6.63%,8.40% or less,2.12%,1.60% or less,90.63%,95.00%,81.71%,95.00%,55.21%,95.00%,39.11%,26.93%,21.78%,15.73%,22.69%,27.53%,89.40%,95.00%,80.95%,95.00%,41.92%,95.00%,37.73%,20.10%,15.79%,9.75%,7.18%,6.12%,83.63%,100.00%,65.13%,86.22%,*,100.00%,35.71%,70.30%,36.00%,61.42%,70.00%,63.65%,21.43%,50.89%,42.31%,47.37%,40.00%,47.79%,16.20%,23.11%,31.62%,26.00%,28.10%,27.55%,16.15%,16.18%,24.61%,17.00%,19.46%,17.76%,81.28,82.00%,9.48%,11.82%,49.41%,34% or more,70.59%,58% or more,78.24%,76% or more
1967,Powers SD 31,16,93.75%,77.00% or more,0.00%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2009,Prairie City SD 4,210,92.38%,77.00% or more,2.86%,8.40% or less,0.00%,1.60% or less,72.73%,95.00%,75.00%,95.00%,68.42%,95.00%,*,26.93%,14.29%,15.73%,15.38%,27.53%,63.64%,95.00%,60.00%,95.00%,68.42%,95.00%,*,20.10%,9.09%,9.75%,<5%,6.12%,95.24%,100.00%,77.27%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,20.54%,26.00%,29.17%,27.55%,*,16.18%,8.77%,17.00%,26.53%,17.76%,81.82,82.00%,9.09%,11.82%,16.67%,34% or more,66.67%,58% or more,66.67%,76% or more
2045,Prospect SD 59,34,88.24%,77.00% or more,5.88%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
1946,Rainier SD 13,143,54.55%,77.00% or more,22.38%,8.40% or less,0.00%,1.60% or less,75.00%,95.00%,71.43%,95.00%,69.23%,95.00%,*,26.93%,*,15.73%,*,27.53%,75.00%,95.00%,64.29%,95.00%,69.23%,95.00%,*,20.10%,*,9.75%,*,6.12%,66.67%,100.00%,75.00%,86.22%,100.00%,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,42.86,82.00%,57.14%,11.82%,*,34% or more,*,58% or more,*,76% or more
1977,Redmond SD 2J,927,77.99%,77.00% or more,7.12%,8.40% or less,0.32%,1.60% or less,80.68%,95.00%,70.77%,95.00%,24.32%,95.00%,12.90%,26.93%,<5%,15.73%,5.88%,27.53%,80.68%,95.00%,69.23%,95.00%,25.68%,95.00%,12.70%,20.10%,6.82%,9.75%,<5%,6.12%,98.68%,100.00%,69.23%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,36.88%,23.11%,37.57%,26.00%,25.52%,27.55%,32.73%,16.18%,18.68%,17.00%,13.28%,17.76%,80.00,82.00%,12.86%,11.82%,25.00%,34% or more,75.00%,58% or more,90.00%,76% or more
2001,Reedsport SD 105,111,71.17%,77.00% or more,14.41%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,100.00%,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,50.00,82.00%,30.00%,11.82%,*,34% or more,*,58% or more,*,76% or more
2182,Reynolds SD 7,1606,70.24%,77.00% or more,9.90%,8.40% or less,3.99%,1.60% or less,90.74%,95.00%,94.40%,95.00%,67.57%,95.00%,7.19%,26.93%,6.09%,15.73%,7.50%,27.53%,90.12%,95.00%,94.40%,95.00%,63.51%,95.00%,5.07%,20.10%,<5%,9.75%,<5%,6.12%,94.34%,100.00%,67.65%,86.22%,*,100.00%,*,70.30%,*,61.42%,30.00%,63.65%,*,50.89%,*,47.37%,40.00%,47.79%,14.85%,23.11%,16.24%,26.00%,20.80%,27.55%,10.99%,16.18%,5.47%,17.00%,7.16%,17.76%,74.65,82.00%,15.49%,11.82%,16.67%,34% or more,38.89%,58% or more,83.33%,76% or more
1999,Riddle SD 70,91,56.04%,77.00% or more,7.69%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,100.00%,100.00%,90.00%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,85.71,82.00%,14.29%,11.82%,*,34% or more,*,58% or more,*,76% or more
2188,Riverdale SD 51J,56,100.00%,77.00% or more,0.00%,8.40% or less,0.00%,1.60% or less,76.92%,95.00%,*,95.00%,*,95.00%,70.00%,26.93%,*,15.73%,*,27.53%,84.62%,95.00%,*,95.00%,*,95.00%,54.55%,20.10%,*,9.75%,*,6.12%,100.00%,100.00%,85.71%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,11.82%,23.11%,*,26.00%,*,27.55%,25.00%,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2044,Rogue River SD 35,154,88.31%,77.00% or more,5.19%,8.40% or less,0.00%,1.60% or less,94.44%,95.00%,75.00%,95.00%,66.67%,95.00%,25.00%,26.93%,*,15.73%,10.00%,27.53%,94.44%,95.00%,75.00%,95.00%,66.67%,95.00%,31.25%,20.10%,*,9.75%,<5%,6.12%,100.00%,100.00%,73.33%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,<5%,23.11%,*,26.00%,37.54%,27.55%,<5%,16.18%,*,17.00%,14.52%,17.76%,56.25,82.00%,37.50%,11.82%,*,34% or more,*,58% or more,*,76% or more
2142,Salem-Keizer SD 24J,6759,73.25%,77.00% or more,11.97%,8.40% or less,0.58%,1.60% or less,>95%,95.00%,93.89%,95.00%,79.27%,95.00%,15.08%,26.93%,12.04%,15.73%,11.52%,27.53%,>95%,95.00%,92.84%,95.00%,77.14%,95.00%,12.19%,20.10%,7.41%,9.75%,<5%,6.12%,91.62%,100.00%,77.59%,86.22%,70.59%,100.00%,36.36%,70.30%,23.91%,61.42%,26.83%,63.65%,25.76%,50.89%,45.65%,47.37%,19.05%,47.79%,13.96%,23.11%,20.90%,26.00%,23.07%,27.55%,10.63%,16.18%,12.83%,17.00%,7.64%,17.76%,66.42,82.00%,23.96%,11.82%,15.77%,34% or more,51.55%,58% or more,63.94%,76% or more
2104,Santiam Canyon SD 129J,562,87.19%,77.00% or more,10.50%,8.40% or less,0.00%,1.60% or less,57.14%,95.00%,43.06%,95.00%,31.88%,95.00%,30.00%,26.93%,12.90%,15.73%,28.57%,27.53%,57.14%,95.00%,41.67%,95.00%,30.43%,95.00%,30.00%,20.10%,6.67%,9.75%,25.00%,6.12%,91.18%,100.00%,84.44%,86.22%,85.71%,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,9.81%,23.11%,26.11%,26.00%,25.98%,27.55%,13.52%,16.18%,19.45%,17.00%,<5%,17.76%,81.43,82.00%,<5%,11.82%,14.29%,34% or more,85.71%,58% or more,85.71%,76% or more
1944,Scappoose SD 1J,382,85.60%,77.00% or more,4.45%,8.40% or less,1.31%,1.60% or less,89.29%,95.00%,79.31%,95.00%,8.57%,95.00%,16.00%,26.93%,13.04%,15.73%,*,27.53%,92.86%,95.00%,79.31%,95.00%,11.43%,95.00%,30.77%,20.10%,17.39%,9.75%,*,6.12%,100.00%,100.00%,72.73%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,37.10%,23.11%,33.17%,26.00%,*,27.55%,16.53%,16.18%,13.86%,17.00%,*,17.76%,91.67,82.00%,<5%,11.82%,*,34% or more,*,58% or more,*,76% or more
2103,Scio SD 95,250,89.20%,77.00% or more,6.80%,8.40% or less,0.00%,1.60% or less,76.92%,95.00%,81.08%,95.00%,79.17%,95.00%,*,26.93%,20.00%,15.73%,15.79%,27.53%,76.92%,95.00%,81.08%,95.00%,79.17%,95.00%,*,20.10%,13.33%,9.75%,5.26%,6.12%,100.00%,100.00%,81.25%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,17.08%,26.00%,31.50%,27.55%,*,16.18%,12.38%,17.00%,25.14%,17.76%,83.33,82.00%,6.67%,11.82%,*,34% or more,*,58% or more,*,76% or more
1935,Seaside SD 10,209,72.25%,77.00% or more,15.79%,8.40% or less,0.00%,1.60% or less,93.75%,95.00%,94.44%,95.00%,84.21%,95.00%,42.86%,26.93%,12.50%,15.73%,6.67%,27.53%,93.75%,95.00%,88.89%,95.00%,84.21%,95.00%,42.86%,20.10%,<5%,9.75%,<5%,6.12%,93.33%,100.00%,86.96%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,10.90%,23.11%,30.02%,26.00%,22.85%,27.55%,<5%,16.18%,17.46%,17.00%,8.74%,17.76%,81.82,82.00%,9.09%,11.82%,*,34% or more,*,58% or more,*,76% or more
2257,Sheridan SD 48J,154,82.47%,77.00% or more,7.79%,8.40% or less,1.95%,1.60% or less,*,95.00%,80.00%,95.00%,81.25%,95.00%,*,26.93%,*,15.73%,7.69%,27.53%,*,95.00%,80.00%,95.00%,75.00%,95.00%,*,20.10%,*,9.75%,<5%,6.12%,100.00%,100.00%,65.00%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,6.98%,27.55%,*,16.18%,*,17.00%,6.76%,17.76%,36.36,82.00%,54.55%,11.82%,*,34% or more,*,58% or more,*,76% or more
2195,Sherman County SD,38,92.11%,77.00% or more,2.63%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,62.50%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
